Country,Year,Sex,Age,Suicides_No,Population,Suicides100kPop,HDIYear,GDPYear,GDPCapita,Generation
Armenia,2007,male,35-54 years,19,362189,5.25,0.683,9206301700,3366,Boomers
Armenia,2007,female,55-74 years,8,240998,3.32,0.683,9206301700,3366,Silent
Armenia,2007,male,15-24 years,7,272188,2.57,0.683,9206301700,3366,Millenials
Armenia,2007,male,25-34 years,4,191561,2.09,0.683,9206301700,3366,Generation X
Armenia,2007,female,35-54 years,8,444817,1.8,0.683,9206301700,3366,Boomers
Armenia,2007,female,75+ years,1,79210,1.26,0.683,9206301700,3366,Silent
Armenia,2007,female,15-24 years,3,288510,1.04,0.683,9206301700,3366,Millenials
Armenia,2007,male,5-14 years,1,210620,0.47,0.683,9206301700,3366,Generation Z
Armenia,2007,female,25-34 years,0,220144,0,0.683,9206301700,3366,Generation X
Armenia,2007,female,5-14 years,0,190490,0,0.683,9206301700,3366,Generation Z
Armenia,2008,male,75+ years,7,46886,14.93,0.683,11662040714,3829,Silent
Armenia,2008,male,55-74 years,18,198978,9.05,0.683,11662040714,3829,Silent
Armenia,2008,male,35-54 years,11,429649,2.56,0.683,11662040714,3829,Boomers
Armenia,2008,female,35-54 years,10,477501,2.09,0.683,11662040714,3829,Boomers
Armenia,2008,female,55-74 years,5,260264,1.92,0.683,11662040714,3829,Silent
Armenia,2008,male,25-34 years,4,250190,1.6,0.683,11662040714,3829,Generation X
Armenia,2008,male,15-24 years,3,317794,0.94,0.683,11662040714,3829,Millenials
Armenia,2008,female,25-34 years,2,254728,0.79,0.683,11662040714,3829,Generation X
Armenia,2008,female,5-14 years,1,198065,0.5,0.683,11662040714,3829,Generation Z
Armenia,2008,male,5-14 years,1,220896,0.45,0.683,11662040714,3829,Generation Z
Armenia,2008,female,15-24 years,1,309009,0.32,0.683,11662040714,3829,Millenials
Armenia,2008,female,75+ years,0,81431,0,0.683,11662040714,3829,Silent
Armenia,2009,male,75+ years,8,50759,15.76,0.683,8647936748,3215,Silent
Armenia,2009,male,55-74 years,11,189632,5.8,0.683,8647936748,3215,Silent
Armenia,2009,male,35-54 years,17,351694,4.83,0.683,8647936748,3215,Boomers
Armenia,2009,male,15-24 years,5,259772,1.92,0.683,8647936748,3215,Millenials
Armenia,2009,female,75+ years,1,79728,1.25,0.683,8647936748,3215,Silent
Armenia,2009,female,55-74 years,3,248767,1.21,0.683,8647936748,3215,Silent
Armenia,2009,male,25-34 years,2,198646,1.01,0.683,8647936748,3215,Generation X
Armenia,2009,female,25-34 years,2,230582,0.87,0.683,8647936748,3215,Generation X
Armenia,2009,female,35-54 years,3,433390,0.69,0.683,8647936748,3215,Boomers
Armenia,2009,female,15-24 years,1,278535,0.36,0.683,8647936748,3215,Millenials
Armenia,2009,female,5-14 years,0,172560,0,0.683,8647936748,3215,Generation Z
Armenia,2009,male,5-14 years,0,195630,0,0.683,8647936748,3215,Generation Z
Armenia,2010,male,75+ years,6,52333,11.47,0.721,9260284938,3460,Silent
Armenia,2010,male,55-74 years,13,193100,6.73,0.721,9260284938,3460,Silent
Armenia,2010,male,25-34 years,10,202936,4.93,0.721,9260284938,3460,Generation X
Armenia,2010,male,35-54 years,15,346739,4.33,0.721,9260284938,3460,Generation X
Armenia,2010,male,15-24 years,8,252152,3.17,0.721,9260284938,3460,Millenials
Armenia,2010,female,55-74 years,7,253182,2.76,0.721,9260284938,3460,Silent
Armenia,2010,female,75+ years,2,81770,2.45,0.721,9260284938,3460,Silent
Armenia,2010,female,5-14 years,2,167142,1.2,0.721,9260284938,3460,Generation Z
Armenia,2010,female,35-54 years,5,427571,1.17,0.721,9260284938,3460,Generation X
Armenia,2010,male,5-14 years,2,191722,1.04,0.721,9260284938,3460,Generation Z
Armenia,2010,female,15-24 years,2,270727,0.74,0.721,9260284938,3460,Millenials
Armenia,2010,female,25-34 years,1,236851,0.42,0.721,9260284938,3460,Generation X
Armenia,2011,female,75+ years,6,86643,6.92,0.723,10142111334,3798,Silent
Armenia,2011,male,35-54 years,23,341199,6.74,0.723,10142111334,3798,Generation X
Armenia,2011,male,55-74 years,11,194982,5.64,0.723,10142111334,3798,Boomers
Armenia,2011,male,25-34 years,8,209914,3.81,0.723,10142111334,3798,Millenials
Armenia,2011,male,75+ years,2,55565,3.6,0.723,10142111334,3798,Silent
Armenia,2011,male,15-24 years,7,245227,2.85,0.723,10142111334,3798,Millenials
Armenia,2011,female,15-24 years,4,259823,1.54,0.723,10142111334,3798,Millenials
Armenia,2011,female,55-74 years,3,256541,1.17,0.723,10142111334,3798,Boomers
Armenia,2011,female,35-54 years,3,422179,0.71,0.723,10142111334,3798,Generation X
Armenia,2011,female,25-34 years,0,244912,0,0.723,10142111334,3798,Millenials
Armenia,2011,female,5-14 years,0,164004,0,0.723,10142111334,3798,Generation Z
Armenia,2011,male,5-14 years,0,189377,0,0.723,10142111334,3798,Generation Z
Armenia,2012,male,75+ years,5,56598,8.83,0.728,10619320049,3773,Silent
Armenia,2012,male,35-54 years,26,376743,6.9,0.728,10619320049,3773,Generation X
Armenia,2012,male,55-74 years,11,212482,5.18,0.728,10619320049,3773,Boomers
Armenia,2012,male,25-34 years,11,245443,4.48,0.728,10619320049,3773,Millenials
Armenia,2012,female,75+ years,3,91237,3.29,0.728,10619320049,3773,Silent
Armenia,2012,male,15-24 years,5,255119,1.96,0.728,10619320049,3773,Millenials
Armenia,2012,female,35-54 years,7,428953,1.63,0.728,10619320049,3773,Generation X
Armenia,2012,female,25-34 years,4,259768,1.54,0.728,10619320049,3773,Millenials
Armenia,2012,female,55-74 years,4,273394,1.46,0.728,10619320049,3773,Boomers
Armenia,2012,female,15-24 years,2,255088,0.78,0.728,10619320049,3773,Millenials
Armenia,2012,male,5-14 years,1,192409,0.52,0.728,10619320049,3773,Generation Z
Armenia,2012,female,5-14 years,0,167066,0,0.728,10619320049,3773,Generation Z
Armenia,2013,male,75+ years,7,58640,11.94,0.731,11121465767,3957,Silent
Armenia,2013,female,75+ years,6,95093,6.31,0.731,11121465767,3957,Silent
Armenia,2013,male,55-74 years,11,218063,5.04,0.731,11121465767,3957,Boomers
Armenia,2013,female,55-74 years,11,280566,3.92,0.731,11121465767,3957,Boomers
Armenia,2013,male,25-34 years,9,250487,3.59,0.731,11121465767,3957,Millenials
Armenia,2013,male,35-54 years,13,370440,3.51,0.731,11121465767,3957,Generation X
Armenia,2013,female,35-54 years,6,423841,1.42,0.731,11121465767,3957,Generation X
Armenia,2013,male,15-24 years,2,243687,0.82,0.731,11121465767,3957,Millenials
Armenia,2013,male,5-14 years,1,193754,0.52,0.731,11121465767,3957,Generation Z
Armenia,2013,female,15-24 years,1,242386,0.41,0.731,11121465767,3957,Millenials
Armenia,2013,female,25-34 years,0,265616,0,0.731,11121465767,3957,Millenials
Armenia,2013,female,5-14 years,0,168091,0,0.731,11121465767,3957,Generation Z
Armenia,2014,male,75+ years,9,60108,14.97,0.733,11609512940,4142,Silent
Armenia,2014,female,75+ years,6,98118,6.12,0.733,11609512940,4142,Silent
Armenia,2014,male,55-74 years,12,224430,5.35,0.733,11609512940,4142,Boomers
Armenia,2014,male,35-54 years,13,363362,3.58,0.733,11609512940,4142,Generation X
Armenia,2014,male,25-34 years,6,253461,2.37,0.733,11609512940,4142,Millenials
Armenia,2014,female,55-74 years,4,288822,1.38,0.733,11609512940,4142,Boomers
Armenia,2014,male,15-24 years,3,230760,1.3,0.733,11609512940,4142,Millenials
Armenia,2014,female,15-24 years,2,227895,0.88,0.733,11609512940,4142,Millenials
Armenia,2014,female,5-14 years,1,171332,0.58,0.733,11609512940,4142,Generation Z
Armenia,2014,female,35-54 years,2,417829,0.48,0.733,11609512940,4142,Generation X
Armenia,2014,female,25-34 years,0,269937,0,0.733,11609512940,4142,Millenials
Armenia,2014,male,5-14 years,0,196975,0,0.733,11609512940,4142,Generation Z
Armenia,2015,male,75+ years,12,61355,19.56,0.683,10553337673,3775,Silent
Armenia,2015,male,55-74 years,16,231213,6.92,0.683,10553337673,3775,Boomers
Armenia,2015,female,75+ years,5,100754,4.96,0.683,10553337673,3775,Silent
Armenia,2015,male,35-54 years,15,356715,4.21,0.683,10553337673,3775,Generation X
Armenia,2015,male,25-34 years,10,255540,3.91,0.683,10553337673,3775,Millenials
Armenia,2015,female,55-74 years,5,297936,1.68,0.683,10553337673,3775,Boomers
Armenia,2015,female,15-24 years,3,212010,1.42,0.683,10553337673,3775,Millenials
Armenia,2015,female,35-54 years,4,412360,0.97,0.683,10553337673,3775,Generation X
Armenia,2015,male,15-24 years,2,216876,0.92,0.683,10553337673,3775,Millenials
Armenia,2015,female,25-34 years,2,274108,0.73,0.683,10553337673,3775,Millenials
Armenia,2015,female,5-14 years,0,175417,0,0.683,10553337673,3775,Generation Z
Armenia,2015,male,5-14 years,0,201051,0,0.683,10553337673,3775,Generation Z
Armenia,2016,male,75+ years,12,61956,19.37,0.683,10546135160,3788,Silent
Armenia,2016,male,55-74 years,16,237813,6.73,0.683,10546135160,3788,Boomers
Armenia,2016,male,35-54 years,16,350633,4.56,0.683,10546135160,3788,Generation X
Armenia,2016,male,15-24 years,5,202220,2.47,0.683,10546135160,3788,Millenials
Armenia,2016,female,75+ years,2,102414,1.95,0.683,10546135160,3788,Silent
Armenia,2016,female,55-74 years,6,308349,1.95,0.683,10546135160,3788,Boomers
Armenia,2016,male,25-34 years,4,255665,1.56,0.683,10546135160,3788,Millenials
Armenia,2016,female,35-54 years,3,408109,0.74,0.683,10546135160,3788,Generation X
Armenia,2016,female,25-34 years,2,277452,0.72,0.683,10546135160,3788,Millenials
Armenia,2016,female,15-24 years,1,195422,0.51,0.683,10546135160,3788,Millenials
Aruba,1995,male,75+ years,2,889,224.97,0.683,1320670391,17949,G.I. Generation
Aruba,1995,male,25-34 years,4,7520,53.19,0.683,1320670391,17949,Generation X
Aruba,1995,male,55-74 years,1,4558,21.94,0.683,1320670391,17949,Silent
Aruba,1995,male,35-54 years,1,11895,8.41,0.683,1320670391,17949,Boomers
Aruba,1995,female,15-24 years,0,5138,0,0.683,1320670391,17949,Generation X
Aruba,1995,female,25-34 years,0,7439,0,0.683,1320670391,17949,Generation X
Aruba,1995,female,35-54 years,0,12391,0,0.683,1320670391,17949,Boomers
Aruba,1995,female,5-14 years,0,5906,0,0.683,1320670391,17949,Millenials
Aruba,1995,female,55-74 years,0,5160,0,0.683,1320670391,17949,Silent
Aruba,1995,female,75+ years,0,1295,0,0.683,1320670391,17949,G.I. Generation
Aruba,1995,male,15-24 years,0,5227,0,0.683,1320670391,17949,Generation X
Aruba,1995,male,5-14 years,0,6163,0,0.683,1320670391,17949,Millenials
Aruba,1999,male,25-34 years,4,7031,56.89,0.683,1722798883,21027,Generation X
Aruba,1999,male,15-24 years,2,5428,36.85,0.683,1722798883,21027,Generation X
Aruba,1999,male,35-54 years,3,13807,21.73,0.683,1722798883,21027,Boomers
Aruba,1999,female,15-24 years,0,5563,0,0.683,1722798883,21027,Generation X
Aruba,1999,female,25-34 years,0,7411,0,0.683,1722798883,21027,Generation X
Aruba,1999,female,35-54 years,0,14951,0,0.683,1722798883,21027,Boomers
Aruba,1999,female,5-14 years,0,6784,0,0.683,1722798883,21027,Millenials
Aruba,1999,female,55-74 years,0,6192,0,0.683,1722798883,21027,Silent
Aruba,1999,female,75+ years,0,1475,0,0.683,1722798883,21027,G.I. Generation
Aruba,1999,male,5-14 years,0,6923,0,0.683,1722798883,21027,Millenials
Aruba,1999,male,55-74 years,0,5395,0,0.683,1722798883,21027,Silent
Aruba,1999,male,75+ years,0,974,0,0.683,1722798883,21027,G.I. Generation
Aruba,2000,female,75+ years,2,1499,133.42,0.683,1873452514,22333,G.I. Generation
Aruba,2000,male,75+ years,1,989,101.11,0.683,1873452514,22333,G.I. Generation
Aruba,2000,male,25-34 years,3,6828,43.94,0.683,1873452514,22333,Generation X
Aruba,2000,male,35-54 years,2,14228,14.06,0.683,1873452514,22333,Boomers
Aruba,2000,female,35-54 years,2,15624,12.8,0.683,1873452514,22333,Boomers
Aruba,2000,female,15-24 years,0,5675,0,0.683,1873452514,22333,Generation X
Aruba,2000,female,25-34 years,0,7347,0,0.683,1873452514,22333,Generation X
Aruba,2000,female,5-14 years,0,6974,0,0.683,1873452514,22333,Millenials
Aruba,2000,female,55-74 years,0,6487,0,0.683,1873452514,22333,Silent
Aruba,2000,male,15-24 years,0,5514,0,0.683,1873452514,22333,Generation X
Aruba,2000,male,5-14 years,0,7111,0,0.683,1873452514,22333,Millenials
Aruba,2000,male,55-74 years,0,5612,0,0.683,1873452514,22333,Silent
Aruba,2001,male,35-54 years,4,14663,27.28,0.683,1920262570,22317,Boomers
Aruba,2001,female,15-24 years,0,5897,0,0.683,1920262570,22317,Millenials
Aruba,2001,female,25-34 years,0,7290,0,0.683,1920262570,22317,Generation X
Aruba,2001,female,35-54 years,0,16210,0,0.683,1920262570,22317,Boomers
Aruba,2001,female,5-14 years,0,7181,0,0.683,1920262570,22317,Millenials
Aruba,2001,female,55-74 years,0,6793,0,0.683,1920262570,22317,Silent
Aruba,2001,female,75+ years,0,1519,0,0.683,1920262570,22317,Silent
Aruba,2001,male,15-24 years,0,5712,0,0.683,1920262570,22317,Millenials
Aruba,2001,male,25-34 years,0,6638,0,0.683,1920262570,22317,Generation X
Aruba,2001,male,5-14 years,0,7263,0,0.683,1920262570,22317,Millenials
Aruba,2001,male,55-74 years,0,5846,0,0.683,1920262570,22317,Silent
Aruba,2001,male,75+ years,0,1033,0,0.683,1920262570,22317,Silent
Aruba,2002,male,55-74 years,4,6116,65.4,0.683,1941094972,21987,Silent
Aruba,2002,male,25-34 years,2,6459,30.96,0.683,1941094972,21987,Generation X
Aruba,2002,male,15-24 years,1,5938,16.84,0.683,1941094972,21987,Millenials
Aruba,2002,male,35-54 years,2,15082,13.26,0.683,1941094972,21987,Boomers
Aruba,2002,female,15-24 years,0,6151,0,0.683,1941094972,21987,Millenials
Aruba,2002,female,25-34 years,0,7233,0,0.683,1941094972,21987,Generation X
Aruba,2002,female,35-54 years,0,16782,0,0.683,1941094972,21987,Boomers
Aruba,2002,female,5-14 years,0,7374,0,0.683,1941094972,21987,Millenials
Aruba,2002,female,55-74 years,0,7128,0,0.683,1941094972,21987,Silent
Aruba,2002,female,75+ years,0,1545,0,0.683,1941094972,21987,Silent
Aruba,2002,male,5-14 years,0,7406,0,0.683,1941094972,21987,Millenials
Aruba,2002,male,75+ years,0,1070,0,0.683,1941094972,21987,Silent
Aruba,2003,male,35-54 years,2,15463,12.93,0.683,2021301676,22345,Boomers
Aruba,2003,female,15-24 years,0,6412,0,0.683,2021301676,22345,Millenials
Aruba,2003,female,25-34 years,0,7173,0,0.683,2021301676,22345,Generation X
Aruba,2003,female,35-54 years,0,17314,0,0.683,2021301676,22345,Boomers
Aruba,2003,female,5-14 years,0,7527,0,0.683,2021301676,22345,Millenials
Aruba,2003,female,55-74 years,0,7479,0,0.683,2021301676,22345,Silent
Aruba,2003,female,75+ years,0,1580,0,0.683,2021301676,22345,Silent
Aruba,2003,male,15-24 years,0,6176,0,0.683,2021301676,22345,Millenials
Aruba,2003,male,25-34 years,0,6299,0,0.683,2021301676,22345,Generation X
Aruba,2003,male,5-14 years,0,7525,0,0.683,2021301676,22345,Millenials
Aruba,2003,male,55-74 years,0,6402,0,0.683,2021301676,22345,Silent
Aruba,2003,male,75+ years,0,1107,0,0.683,2021301676,22345,Silent
Aruba,2004,male,75+ years,1,1136,88.03,0.683,2228279330,24133,Silent
Aruba,2004,male,55-74 years,3,6702,44.76,0.683,2228279330,24133,Silent
Aruba,2004,male,25-34 years,1,6164,16.22,0.683,2228279330,24133,Generation X
Aruba,2004,female,15-24 years,1,6650,15.04,0.683,2228279330,24133,Millenials
Aruba,2004,male,35-54 years,2,15784,12.67,0.683,2228279330,24133,Boomers
Aruba,2004,female,25-34 years,0,7102,0,0.683,2228279330,24133,Generation X
Aruba,2004,female,35-54 years,0,17769,0,0.683,2228279330,24133,Boomers
Aruba,2004,female,5-14 years,0,7610,0,0.683,2228279330,24133,Millenials
Aruba,2004,female,55-74 years,0,7820,0,0.683,2228279330,24133,Silent
Aruba,2004,female,75+ years,0,1616,0,0.683,2228279330,24133,Silent
Aruba,2004,male,15-24 years,0,6395,0,0.683,2228279330,24133,Millenials
Aruba,2004,male,5-14 years,0,7587,0,0.683,2228279330,24133,Millenials
Aruba,2005,male,55-74 years,2,6989,28.62,0.683,2331005587,24870,Silent
Aruba,2005,male,35-54 years,3,16011,18.74,0.683,2331005587,24870,Boomers
Aruba,2005,female,15-24 years,1,6843,14.61,0.683,2331005587,24870,Millenials
Aruba,2005,female,25-34 years,1,7004,14.28,0.683,2331005587,24870,Generation X
Aruba,2005,female,55-74 years,1,8137,12.29,0.683,2331005587,24870,Silent
Aruba,2005,female,35-54 years,2,18117,11.04,0.683,2331005587,24870,Boomers
Aruba,2005,female,5-14 years,0,7604,0,0.683,2331005587,24870,Millenials
Aruba,2005,female,75+ years,0,1654,0,0.683,2331005587,24870,Silent
Aruba,2005,male,15-24 years,0,6576,0,0.683,2331005587,24870,Millenials
Aruba,2005,male,25-34 years,0,6051,0,0.683,2331005587,24870,Generation X
Aruba,2005,male,5-14 years,0,7577,0,0.683,2331005587,24870,Millenials
Aruba,2005,male,75+ years,0,1165,0,0.683,2331005587,24870,Silent
Aruba,2006,male,25-34 years,4,5994,66.73,0.683,2421474860,25622,Generation X
Aruba,2006,male,35-54 years,3,16086,18.65,0.683,2421474860,25622,Boomers
Aruba,2006,female,35-54 years,2,18297,10.93,0.683,2421474860,25622,Boomers
Aruba,2006,female,15-24 years,0,6736,0,0.683,2421474860,25622,Millenials
Aruba,2006,female,25-34 years,0,6928,0,0.683,2421474860,25622,Generation X
Aruba,2006,female,5-14 years,0,7507,0,0.683,2421474860,25622,Millenials
Aruba,2006,female,55-74 years,0,8553,0,0.683,2421474860,25622,Silent
Aruba,2006,female,75+ years,0,1772,0,0.683,2421474860,25622,Silent
Aruba,2006,male,15-24 years,0,6519,0,0.683,2421474860,25622,Millenials
Aruba,2006,male,5-14 years,0,7575,0,0.683,2421474860,25622,Millenials
Aruba,2006,male,55-74 years,0,7316,0,0.683,2421474860,25622,Silent
Aruba,2006,male,75+ years,0,1225,0,0.683,2421474860,25622,Silent
Aruba,2007,male,25-34 years,2,5935,33.7,0.683,2623726257,27672,Generation X
Aruba,2007,male,35-54 years,3,16040,18.7,0.683,2623726257,27672,Boomers
Aruba,2007,male,15-24 years,1,6440,15.53,0.683,2623726257,27672,Millenials
Aruba,2007,male,55-74 years,1,7641,13.09,0.683,2623726257,27672,Silent
Aruba,2007,female,55-74 years,1,8952,11.17,0.683,2623726257,27672,Silent
Aruba,2007,female,15-24 years,0,6548,0,0.683,2623726257,27672,Millenials
Aruba,2007,female,25-34 years,0,6847,0,0.683,2623726257,27672,Generation X
Aruba,2007,female,35-54 years,0,18313,0,0.683,2623726257,27672,Boomers
Aruba,2007,female,5-14 years,0,7391,0,0.683,2623726257,27672,Generation Z
Aruba,2007,female,75+ years,0,1890,0,0.683,2623726257,27672,Silent
Aruba,2007,male,5-14 years,0,7537,0,0.683,2623726257,27672,Generation Z
Aruba,2007,male,75+ years,0,1280,0,0.683,2623726257,27672,Silent
Aruba,2008,male,25-34 years,1,5849,17.1,0.683,2791960894,29447,Generation X
Aruba,2008,male,55-74 years,1,7959,12.56,0.683,2791960894,29447,Silent
Aruba,2008,male,35-54 years,1,15912,6.28,0.683,2791960894,29447,Boomers
Aruba,2008,female,35-54 years,1,18191,5.5,0.683,2791960894,29447,Boomers
Aruba,2008,female,15-24 years,0,6335,0,0.683,2791960894,29447,Millenials
Aruba,2008,female,25-34 years,0,6757,0,0.683,2791960894,29447,Generation X
Aruba,2008,female,5-14 years,0,7269,0,0.683,2791960894,29447,Generation Z
Aruba,2008,female,55-74 years,0,9341,0,0.683,2791960894,29447,Silent
Aruba,2008,female,75+ years,0,2007,0,0.683,2791960894,29447,Silent
Aruba,2008,male,15-24 years,0,6385,0,0.683,2791960894,29447,Millenials
Aruba,2008,male,5-14 years,0,7476,0,0.683,2791960894,29447,Generation Z
Aruba,2008,male,75+ years,0,1333,0,0.683,2791960894,29447,Silent
Aruba,2009,male,25-34 years,1,5729,17.46,0.683,2498932961,26361,Generation X
Aruba,2009,male,35-54 years,2,15734,12.71,0.683,2498932961,26361,Boomers
Aruba,2009,male,55-74 years,1,8291,12.06,0.683,2498932961,26361,Silent
Aruba,2009,female,15-24 years,0,6152,0,0.683,2498932961,26361,Millenials
Aruba,2009,female,25-34 years,0,6646,0,0.683,2498932961,26361,Generation X
Aruba,2009,female,35-54 years,0,18003,0,0.683,2498932961,26361,Boomers
Aruba,2009,female,5-14 years,0,7178,0,0.683,2498932961,26361,Generation Z
Aruba,2009,female,55-74 years,0,9744,0,0.683,2498932961,26361,Silent
Aruba,2009,female,75+ years,0,2131,0,0.683,2498932961,26361,Silent
Aruba,2009,male,15-24 years,0,6380,0,0.683,2498932961,26361,Millenials
Aruba,2009,male,5-14 years,0,7420,0,0.683,2498932961,26361,Generation Z
Aruba,2009,male,75+ years,0,1387,0,0.683,2498932961,26361,Silent
Aruba,2010,male,35-54 years,4,15543,25.74,0.683,2467703911,25974,Generation X
Aruba,2010,male,55-74 years,2,8660,23.09,0.683,2467703911,25974,Silent
Aruba,2010,female,55-74 years,1,10186,9.82,0.683,2467703911,25974,Silent
Aruba,2010,female,15-24 years,0,6031,0,0.683,2467703911,25974,Millenials
Aruba,2010,female,25-34 years,0,6488,0,0.683,2467703911,25974,Generation X
Aruba,2010,female,35-54 years,0,17826,0,0.683,2467703911,25974,Generation X
Aruba,2010,female,5-14 years,0,7148,0,0.683,2467703911,25974,Generation Z
Aruba,2010,female,75+ years,0,2264,0,0.683,2467703911,25974,Silent
Aruba,2010,male,15-24 years,0,6437,0,0.683,2467703911,25974,Millenials
Aruba,2010,male,25-34 years,0,5568,0,0.683,2467703911,25974,Generation X
Aruba,2010,male,5-14 years,0,7414,0,0.683,2467703911,25974,Generation Z
Aruba,2010,male,75+ years,0,1441,0,0.683,2467703911,25974,Silent
Aruba,2011,male,55-74 years,3,8940,33.56,0.683,2584463687,27066,Boomers
Aruba,2011,male,35-54 years,3,15388,19.5,0.683,2584463687,27066,Generation X
Aruba,2011,female,25-34 years,1,6264,15.96,0.683,2584463687,27066,Millenials
Aruba,2011,male,15-24 years,1,6706,14.91,0.683,2584463687,27066,Millenials
Aruba,2011,female,55-74 years,1,10536,9.49,0.683,2584463687,27066,Boomers
Aruba,2011,female,15-24 years,0,6272,0,0.683,2584463687,27066,Millenials
Aruba,2011,female,35-54 years,0,17691,0,0.683,2584463687,27066,Generation X
Aruba,2011,female,5-14 years,0,7064,0,0.683,2584463687,27066,Generation Z
Aruba,2011,female,75+ years,0,2358,0,0.683,2584463687,27066,Silent
Aruba,2011,male,25-34 years,0,5440,0,0.683,2584463687,27066,Millenials
Aruba,2011,male,5-14 years,0,7324,0,0.683,2584463687,27066,Generation Z
Aruba,2011,male,75+ years,0,1505,0,0.683,2584463687,27066,Silent
Australia,1985,male,75+ years,67,219000,30.59,0.683,180190994861,12374,G.I. Generation
Australia,1985,male,25-34 years,357,1299100,27.48,0.683,180190994861,12374,Boomers
Australia,1985,male,55-74 years,282,1177400,23.95,0.683,180190994861,12374,G.I. Generation
Australia,1985,male,15-24 years,315,1355800,23.23,0.683,180190994861,12374,Generation X
Australia,1985,male,35-54 years,411,1906800,21.55,0.683,180190994861,12374,Silent
Australia,1985,female,75+ years,36,382900,9.4,0.683,180190994861,12374,G.I. Generation
Australia,1985,female,55-74 years,109,1286900,8.47,0.683,180190994861,12374,G.I. Generation
Australia,1985,female,35-54 years,143,1832700,7.8,0.683,180190994861,12374,Silent
Australia,1985,female,15-24 years,69,1304000,5.29,0.683,180190994861,12374,Generation X
Australia,1985,female,25-34 years,64,1275900,5.02,0.683,180190994861,12374,Boomers
Australia,1985,female,5-14 years,4,1231400,0.32,0.683,180190994861,12374,Generation X
Australia,1985,male,5-14 years,4,1290600,0.31,0.683,180190994861,12374,Generation X
Australia,1986,male,75+ years,89,233700,38.08,0.683,181977476217,12288,G.I. Generation
Australia,1986,male,25-34 years,367,1317500,27.86,0.683,181977476217,12288,Boomers
Australia,1986,male,55-74 years,324,1211800,26.74,0.683,181977476217,12288,G.I. Generation
Australia,1986,male,35-54 years,487,1972000,24.7,0.683,181977476217,12288,Silent
Australia,1986,male,15-24 years,296,1369000,21.62,0.683,181977476217,12288,Generation X
Australia,1986,female,35-54 years,169,1888100,8.95,0.683,181977476217,12288,Silent
Australia,1986,female,55-74 years,105,1306500,8.04,0.683,181977476217,12288,G.I. Generation
Australia,1986,female,25-34 years,88,1300200,6.77,0.683,181977476217,12288,Boomers
Australia,1986,female,15-24 years,77,1315000,5.86,0.683,181977476217,12288,Generation X
Australia,1986,female,75+ years,23,405000,5.68,0.683,181977476217,12288,G.I. Generation
Australia,1986,male,5-14 years,18,1277100,1.41,0.683,181977476217,12288,Generation X
Australia,1986,female,5-14 years,1,1213900,0.08,0.683,181977476217,12288,Generation X
Australia,1987,male,75+ years,111,244800,45.34,0.683,189041159344,12564,G.I. Generation
Australia,1987,male,25-34 years,374,1345900,27.79,0.683,189041159344,12564,Boomers
Australia,1987,male,35-54 years,554,2031000,27.28,0.683,189041159344,12564,Silent
Australia,1987,male,55-74 years,328,1227000,26.73,0.683,189041159344,12564,G.I. Generation
Australia,1987,male,15-24 years,354,1383900,25.58,0.683,189041159344,12564,Generation X
Australia,1987,female,75+ years,38,421200,9.02,0.683,189041159344,12564,G.I. Generation
Australia,1987,female,55-74 years,110,1318600,8.34,0.683,189041159344,12564,G.I. Generation
Australia,1987,female,35-54 years,145,1950500,7.43,0.683,189041159344,12564,Silent
Australia,1987,female,15-24 years,73,1329700,5.49,0.683,189041159344,12564,Generation X
Australia,1987,female,25-34 years,70,1327700,5.27,0.683,189041159344,12564,Boomers
Australia,1987,male,5-14 years,6,1264900,0.47,0.683,189041159344,12564,Generation X
Australia,1987,female,5-14 years,1,1201300,0.08,0.683,189041159344,12564,Generation X
Australia,1988,male,75+ years,93,256400,36.27,0.683,235699941793,15393,G.I. Generation
Australia,1988,male,25-34 years,398,1375100,28.94,0.683,235699941793,15393,Boomers
Australia,1988,male,15-24 years,366,1395800,26.22,0.683,235699941793,15393,Generation X
Australia,1988,male,55-74 years,317,1240700,25.55,0.683,235699941793,15393,G.I. Generation
Australia,1988,male,35-54 years,532,2097100,25.37,0.683,235699941793,15393,Silent
Australia,1988,female,75+ years,40,438100,9.13,0.683,235699941793,15393,G.I. Generation
Australia,1988,female,25-34 years,106,1354700,7.82,0.683,235699941793,15393,Boomers
Australia,1988,female,35-54 years,157,2019000,7.78,0.683,235699941793,15393,Silent
Australia,1988,female,55-74 years,103,1330200,7.74,0.683,235699941793,15393,G.I. Generation
Australia,1988,female,15-24 years,53,1340300,3.95,0.683,235699941793,15393,Generation X
Australia,1988,male,5-14 years,6,1264700,0.47,0.683,235699941793,15393,Generation X
Australia,1988,female,5-14 years,1,1200000,0.08,0.683,235699941793,15393,Generation X
Australia,1989,male,75+ years,91,266900,34.1,0.683,299317645143,19223,G.I. Generation
Australia,1989,male,25-34 years,406,1399000,29.02,0.683,299317645143,19223,Boomers
Australia,1989,male,15-24 years,353,1399300,25.23,0.683,299317645143,19223,Generation X
Australia,1989,male,55-74 years,309,1255100,24.62,0.683,299317645143,19223,G.I. Generation
Australia,1989,male,35-54 years,475,2156900,22.02,0.683,299317645143,19223,Silent
Australia,1989,female,55-74 years,124,1340300,9.25,0.683,299317645143,19223,G.I. Generation
Australia,1989,female,75+ years,31,451800,6.86,0.683,299317645143,19223,G.I. Generation
