Country,Year,Sex,Age,Suicides_No,Population,Suicides100kPop,HDIYear,GDPYear,GDPCapita,Generation
Albania,1994,female,15-24 years,6,282600,2.12,0.683,1985673798,697,Generation X
Albania,1994,female,25-34 years,4,261100,1.53,0.683,1985673798,697,Boomers
Albania,1994,female,35-54 years,2,342500,0.58,0.683,1985673798,697,Boomers
Albania,1994,female,55-74 years,1,174600,0.57,0.683,1985673798,697,Silent
Albania,1994,male,5-14 years,1,371800,0.27,0.683,1985673798,697,Millenials
Albania,1994,female,5-14 years,0,344400,0,0.683,1985673798,697,Millenials
Albania,1995,male,25-34 years,13,232900,5.58,0.619,2424499009,835,Generation X
Albania,1995,male,55-74 years,9,178000,5.06,0.619,2424499009,835,Silent
Albania,1995,female,75+ years,2,40800,4.9,0.619,2424499009,835,G.I. Generation
Albania,1995,female,15-24 years,13,283500,4.59,0.619,2424499009,835,Generation X
Albania,1995,male,15-24 years,11,241200,4.56,0.619,2424499009,835,Generation X
Albania,1995,male,75+ years,1,25100,3.98,0.619,2424499009,835,G.I. Generation
Albania,1995,male,35-54 years,14,375900,3.72,0.619,2424499009,835,Boomers
Albania,1995,female,25-34 years,7,264000,2.65,0.619,2424499009,835,Generation X
Albania,1995,female,35-54 years,8,356400,2.24,0.619,2424499009,835,Boomers
Albania,1995,male,5-14 years,6,376500,1.59,0.619,2424499009,835,Millenials
Albania,1995,female,55-74 years,2,180400,1.11,0.619,2424499009,835,Silent
Albania,1995,female,5-14 years,2,348700,0.57,0.619,2424499009,835,Millenials
Albania,1996,male,75+ years,2,25400,7.87,0.683,3314898292,1127,G.I. Generation
Albania,1996,male,15-24 years,17,243600,6.98,0.683,3314898292,1127,Generation X
Albania,1996,male,25-34 years,14,235300,5.95,0.683,3314898292,1127,Generation X
Albania,1996,female,15-24 years,16,287700,5.56,0.683,3314898292,1127,Generation X
Albania,1996,female,75+ years,2,41200,4.85,0.683,3314898292,1127,G.I. Generation
Albania,1996,female,25-34 years,10,267900,3.73,0.683,3314898292,1127,Generation X
Albania,1996,male,35-54 years,12,379600,3.16,0.683,3314898292,1127,Boomers
Albania,1996,female,35-54 years,9,362000,2.49,0.683,3314898292,1127,Boomers
Albania,1996,male,55-74 years,3,179900,1.67,0.683,3314898292,1127,Silent
Albania,1996,female,55-74 years,1,183100,0.55,0.683,3314898292,1127,Silent
Albania,1996,male,5-14 years,2,380400,0.53,0.683,3314898292,1127,Millenials
Albania,1996,female,5-14 years,1,354100,0.28,0.683,3314898292,1127,Millenials
Albania,1997,male,25-34 years,36,236000,15.25,0.683,2359903108,793,Generation X
Albania,1997,male,15-24 years,33,244400,13.5,0.683,2359903108,793,Generation X
Albania,1997,male,75+ years,3,25400,11.81,0.683,2359903108,793,G.I. Generation
Albania,1997,male,35-54 years,30,380800,7.88,0.683,2359903108,793,Boomers
Albania,1997,female,15-24 years,21,294000,7.14,0.683,2359903108,793,Generation X
Albania,1997,male,55-74 years,12,180300,6.66,0.683,2359903108,793,Silent
Albania,1997,female,25-34 years,16,273900,5.84,0.683,2359903108,793,Generation X
Albania,1997,female,75+ years,2,42100,4.75,0.683,2359903108,793,G.I. Generation
Albania,1997,female,35-54 years,7,370100,1.89,0.683,2359903108,793,Boomers
Albania,1997,female,5-14 years,6,361800,1.66,0.683,2359903108,793,Millenials
Albania,1997,male,5-14 years,4,381500,1.05,0.683,2359903108,793,Millenials
Albania,1997,female,55-74 years,0,187000,0,0.683,2359903108,793,Silent
Albania,1998,male,75+ years,3,25800,11.63,0.683,2707123772,899,G.I. Generation
Albania,1998,male,15-24 years,27,248800,10.85,0.683,2707123772,899,Generation X
Albania,1998,female,15-24 years,32,295600,10.83,0.683,2707123772,899,Generation X
Albania,1998,male,25-34 years,26,240400,10.82,0.683,2707123772,899,Generation X
Albania,1998,male,35-54 years,29,388200,7.47,0.683,2707123772,899,Boomers
Albania,1998,male,55-74 years,9,183800,4.9,0.683,2707123772,899,Silent
Albania,1998,female,25-34 years,10,275300,3.63,0.683,2707123772,899,Generation X
Albania,1998,female,55-74 years,6,188200,3.19,0.683,2707123772,899,Silent
Albania,1998,female,35-54 years,9,372100,2.42,0.683,2707123772,899,Boomers
Albania,1998,male,5-14 years,2,388400,0.51,0.683,2707123772,899,Millenials
Albania,1998,female,5-14 years,1,363800,0.27,0.683,2707123772,899,Millenials
Albania,1998,female,75+ years,0,42300,0,0.683,2707123772,899,G.I. Generation
Albania,1999,male,75+ years,3,25900,11.58,0.683,3414760915,1127,G.I. Generation
Albania,1999,male,15-24 years,24,250600,9.58,0.683,3414760915,1127,Generation X
Albania,1999,female,75+ years,4,42400,9.43,0.683,3414760915,1127,G.I. Generation
Albania,1999,male,35-54 years,31,391100,7.93,0.683,3414760915,1127,Boomers
Albania,1999,male,25-34 years,19,242300,7.84,0.683,3414760915,1127,Generation X
Albania,1999,male,55-74 years,14,185200,7.56,0.683,3414760915,1127,Silent
Albania,1999,female,15-24 years,19,296800,6.4,0.683,3414760915,1127,Generation X
Albania,1999,female,25-34 years,13,276500,4.7,0.683,3414760915,1127,Generation X
Albania,1999,female,55-74 years,6,188800,3.18,0.683,3414760915,1127,Silent
Albania,1999,female,35-54 years,5,373600,1.34,0.683,3414760915,1127,Boomers
Albania,1999,female,5-14 years,1,365200,0.27,0.683,3414760915,1127,Millenials
Albania,1999,male,5-14 years,0,391300,0,0.683,3414760915,1127,Millenials
Albania,2000,male,25-34 years,17,232000,7.33,0.656,3632043908,1299,Generation X
Albania,2000,male,55-74 years,10,177400,5.64,0.656,3632043908,1299,Silent
Albania,2000,female,75+ years,2,37800,5.29,0.656,3632043908,1299,G.I. Generation
Albania,2000,male,75+ years,1,24900,4.02,0.656,3632043908,1299,G.I. Generation
Albania,2000,female,15-24 years,6,263900,2.27,0.656,3632043908,1299,Generation X
Albania,2000,male,15-24 years,5,240000,2.08,0.656,3632043908,1299,Generation X
Albania,2000,female,35-54 years,5,332200,1.51,0.656,3632043908,1299,Boomers
Albania,2000,female,25-34 years,3,245800,1.22,0.656,3632043908,1299,Generation X
Albania,2000,male,35-54 years,4,374700,1.07,0.656,3632043908,1299,Boomers
Albania,2000,male,5-14 years,1,374900,0.27,0.656,3632043908,1299,Millenials
Albania,2000,female,5-14 years,0,324700,0,0.656,3632043908,1299,Millenials
Albania,2000,female,55-74 years,0,168000,0,0.656,3632043908,1299,Silent
Albania,2001,male,25-34 years,22,206484,10.65,0.683,4060758804,1451,Generation X
Albania,2001,male,35-54 years,34,378826,8.98,0.683,4060758804,1451,Boomers
Albania,2001,male,55-74 years,11,196670,5.59,0.683,4060758804,1451,Silent
Albania,2001,female,75+ years,2,47254,4.23,0.683,4060758804,1451,Silent
Albania,2001,male,15-24 years,10,256039,3.91,0.683,4060758804,1451,Millenials
Albania,2001,female,15-24 years,9,271359,3.32,0.683,4060758804,1451,Millenials
Albania,2001,female,35-54 years,12,370191,3.24,0.683,4060758804,1451,Boomers
Albania,2001,male,75+ years,1,31044,3.22,0.683,4060758804,1451,Silent
Albania,2001,female,55-74 years,6,189799,3.16,0.683,4060758804,1451,Silent
Albania,2001,male,5-14 years,6,321556,1.87,0.683,4060758804,1451,Millenials
Albania,2001,female,25-34 years,4,222771,1.8,0.683,4060758804,1451,Generation X
Albania,2001,female,5-14 years,2,307356,0.65,0.683,4060758804,1451,Millenials
Albania,2002,male,75+ years,4,31007,12.9,0.683,4435078648,1573,Silent
Albania,2002,male,25-34 years,23,206286,11.15,0.683,4435078648,1573,Generation X
Albania,2002,male,35-54 years,35,382139,9.16,0.683,4435078648,1573,Boomers
Albania,2002,male,55-74 years,13,198130,6.56,0.683,4435078648,1573,Silent
Albania,2002,male,15-24 years,15,263067,5.7,0.683,4435078648,1573,Millenials
Albania,2002,female,15-24 years,14,275970,5.07,0.683,4435078648,1573,Millenials
Albania,2002,female,35-54 years,15,375113,4,0.683,4435078648,1573,Boomers
